iter	RMSE
0	39.87987618
1	39.72981247
2	39.56032846
3	39.38173518
4	39.22497554
5	39.07526271
6	38.93001472
7	38.79443233
8	38.65383363
9	38.50355377
10	38.36648865
11	38.22741106
12	38.08302448
13	37.94338933
14	37.81023478
15	37.66186043
16	37.54388472
17	37.43212554
18	37.29933409
19	37.17165351
20	37.05867485
21	36.92935973
22	36.79422783
23	36.69906668
24	36.5696433
25	36.43846729
26	36.31244276
27	36.20989639
28	36.10032584
29	35.99935052
30	35.89479941
31	35.78367152
32	35.6700407
33	35.54813842
34	35.45983937
35	35.35712596
36	35.2533785
37	35.14987616
38	35.03802925
39	34.93166005
40	34.83348767
41	34.72645727
42	34.6233273
43	34.53262808
44	34.44508566
45	34.34285891
46	34.24270663
47	34.1501505
48	34.05920796
49	33.97741605
50	33.8855416
51	33.79736712
52	33.71067841
53	33.62743948
54	33.55368819
55	33.46922911
56	33.38708873
57	33.31128755
58	33.23277939
59	33.13891764
60	33.07424176
61	33.006643
62	32.93923479
63	32.86795727
64	32.79824789
65	32.73082757
66	32.67385582
67	32.59323373
68	32.50968197
69	32.4298287
70	32.3654484
71	32.30865227
72	32.23884585
73	32.17980332
74	32.09806574
75	32.0216088
76	31.95641652
77	31.88756918
78	31.81782289
79	31.74079235
80	31.67579021
81	31.61335257
82	31.54678756
83	31.48483451
84	31.41752447
85	31.34848508
86	31.29519527
87	31.24402153
88	31.17009092
89	31.12330799
90	31.06888746
91	31.02146862
92	30.96454398
93	30.90294786
94	30.86032554
95	30.80405814
96	30.73974153
97	30.69241956
98	30.63897136
99	30.57870266
100	30.53291208
101	30.48914384
102	30.44078636
103	30.39168028
104	30.34346049
105	30.3067028
106	30.25790307
107	30.21230365
108	30.16538601
109	30.11354386
110	30.0613732
111	30.01507418
112	29.9719835
113	29.93521538
114	29.89006462
115	29.84160423
116	29.80767496
117	29.76256867
118	29.71225356
119	29.67587877
120	29.63249929
121	29.59693383
122	29.55738486
123	29.52025404
124	29.48175178
125	29.45225832
126	29.41433859
127	29.38066257
128	29.34909571
129	29.31332053
130	29.27833047
131	29.24921366
132	29.20133418
133	29.16817309
134	29.13255185
135	29.10020739
136	29.06823864
137	29.03458959
138	28.99602226
139	28.95696189
140	28.92740961
141	28.89688652
142	28.86311523
143	28.83465638
144	28.79903995
145	28.76246129
146	28.72779623
147	28.69486677
148	28.66411022
149	28.6393234
150	28.61087132
151	28.58245536
152	28.55565795
153	28.52566342
154	28.49940012
155	28.46462227
156	28.43316304
157	28.41029922
158	28.38612389
159	28.35550314
160	28.32805174
161	28.29625876
162	28.26393105
163	28.23737313
164	28.21725865
165	28.197062
166	28.17158043
167	28.13353045
168	28.10191986
169	28.08092159
170	28.0542794
171	28.03095027
172	28.01372512
173	27.98654511
174	27.96721948
175	27.92117835
176	27.89826695
177	27.87453595
178	27.84877482
179	27.82870225
180	27.80665713
181	27.78498378
182	27.75899327
183	27.73689408
184	27.71364419
185	27.6855149
186	27.65069896
187	27.63271764
188	27.60711689
189	27.57654632
190	27.55893697
191	27.53722623
192	27.51039466
193	27.49226593
194	27.47543008
195	27.45690247
196	27.43857983
197	27.42063421
198	27.40168419
199	27.38070166
200	27.35859794
201	27.3440764
202	27.32821246
203	27.31144337
204	27.27264395
205	27.2586793
206	27.23604176
207	27.22558139
208	27.21083656
209	27.19328953
210	27.17395705
211	27.14287436
212	27.12482625
213	27.10955087
214	27.09528115
215	27.0802542
216	27.06429232
217	27.04910492
218	27.03721273
219	27.02306988
220	27.00486172
221	26.99445335
222	26.97576433
223	26.95610191
224	26.94271249
225	26.92371416
226	26.91048037
227	26.88341353
228	26.8581978
229	26.8182627
230	26.80174217
231	26.78957908
232	26.77456322
233	26.74944352
234	26.72623325
235	26.71018826
236	26.69653158
237	26.68639171
238	26.66852538
239	26.65702623
240	26.6470849
241	26.63072807
242	26.61024355
243	26.59213809
244	26.58386286
245	26.57500848
246	26.55613993
247	26.53540202
248	26.52537078
249	26.51607438
250	26.49745355
251	26.48634549
252	26.46863185
253	26.45497949
254	26.43280645
255	26.41945522
256	26.40819183
257	26.39660193
258	26.38680034
259	26.37490995
260	26.36295464
261	26.34937333
262	26.33786538
263	26.31756363
264	26.29956158
265	26.27316279
266	26.26159204
267	26.25195614
268	26.23859011
269	26.22182521
270	26.21057539
271	26.20344735
272	26.19577433
273	26.18012526
274	26.15801374
275	26.14489966
276	26.13667891
277	26.12666392
278	26.11809723
279	26.10409031
280	26.08951278
281	26.08239471
282	26.07152897
283	26.06273562
284	26.04926291
285	26.04248846
286	26.03626624
287	26.02434477
288	26.0125366
289	25.99668063
290	25.98804949
291	25.97510669
292	25.96795456
293	25.95348312
294	25.93742162
295	25.93207293
296	25.92049087
297	25.91382623
298	25.90186804
299	25.8965014
300	25.88083019
301	25.86354486
302	25.85665734
303	25.84898215
304	25.84073943
305	25.83200996
306	25.82212688
307	25.81103074
308	25.80050897
309	25.79190134
310	25.77944626
311	25.77445396
312	25.76747549
313	25.75409615
314	25.74651641
315	25.73839452
316	25.71533666
317	25.69958708
318	25.6935538
319	25.68591983
320	25.67294766
321	25.66224969
322	25.65044694
323	25.63565464
324	25.62717522
325	25.60181812
326	25.5912009
327	25.58186978
328	25.56567056
329	25.55376797
330	25.54687503
331	25.5338474
332	25.51625029
333	25.50938364
334	25.50051063
335	25.49195495
336	25.48611765
337	25.46915185
338	25.46539745
339	25.45499768
340	25.41122047
341	25.40521432
342	25.39480226
343	25.36724807
344	25.36317566
345	25.3527035
346	25.34635998
347	25.33915457
348	25.31686035
349	25.30605306
350	25.29686198
351	25.28770694
352	25.27904846
353	25.2631486
354	25.24479058
355	25.22576666
356	25.21804461
357	25.1977646
358	25.19141379
359	25.18274949
360	25.17374886
361	25.16612253
362	25.15820936
363	25.14662152
364	25.13911308
365	25.12702282
366	25.12099219
367	25.0990486
368	25.06599889
369	25.05879979
370	25.04928244
371	25.03238768
372	25.01901595
373	25.01039544
374	25.00294621
375	24.99445182
376	24.98632182
377	24.98143801
378	24.96933643
379	24.94433353
380	24.93495603
